x0,level
147675.00,310.59
147680.00,310.60
147700.00,311.02
147720.00,310.77
147740.00,310.92
147760.00,310.76
147780.00,310.94
147800.00,310.49
147820.00,310.88
147840.00,310.52
147860.00,310.93
147880.00,310.94
147900.00,310.92
147920.00,311.14
147940.00,311.04
147960.00,311.29
147980.00,311.56
148000.00,311.37
148020.00,311.06
148040.00,310.86
148060.00,310.81
148080.00,310.79
148100.00,311.35
148120.00,310.83
148140.00,310.33
148160.00,310.95
148180.00,311.28
148200.00,311.67
148220.00,311.48
148240.00,311.93
148260.00,312.03
148280.00,312.04
148300.00,311.15
148320.00,310.86
148340.00,311.34
148360.00,311.64
148380.00,311.46
148400.00,311.03
148420.00,310.87
148440.00,311.18
148460.00,312.07
148480.00,311.76
148500.00,312.15
148520.00,313.01
148540.00,312.22
148560.00,312.77
148580.00,312.82
148600.00,312.73
148620.00,312.74
148640.00,312.70
148660.00,312.50
148680.00,313.19
148700.00,313.12
148720.00,313.27
148740.00,313.02
148760.00,312.70
148780.00,312.35
148800.00,313.03
148820.00,313.34
148840.00,313.29
148860.00,313.27
148880.00,313.50
148900.00,313.69
148920.00,313.77
148940.00,313.81
148960.00,313.77
148980.00,313.70
149000.00,313.44
149020.00,313.54
149040.00,313.65
149060.00,313.73
149080.00,314.02
149100.00,314.42
149120.00,314.00
149140.00,314.06
149160.00,314.13
149180.00,314.21
149200.00,314.45
149220.00,314.55
149240.00,314.29
149260.00,313.62
149280.00,313.89
149300.00,314.18
149320.00,314.40
149340.00,314.44
149360.00,314.67
149380.00,314.73
149400.00,314.58
149420.00,314.74
149440.00,314.68
149460.00,314.45
149480.00,314.77
149500.00,314.82
149520.00,314.70
149540.00,314.52
149560.00,314.69
149580.00,315.23
149600.00,315.18
149620.00,315.05
149640.00,315.06
149660.00,314.95
149680.00,315.23
149700.00,315.41
149720.00,315.56
149740.00,315.43
149760.00,315.34
149780.00,315.42
149800.00,315.51
149820.00,315.50
149840.00,315.65
149860.00,315.78
149880.00,315.87
149900.00,315.52
149920.00,315.72
149940.00,315.81
149960.00,315.97
149980.00,316.19
150000.00,316.26
150020.00,316.11
150040.00,315.96
150060.00,316.03
150080.00,316.44
150100.00,316.65
150120.00,316.40
150140.00,316.70
150160.00,316.89
150180.00,317.10
150200.00,316.02
150220.00,316.08
150240.00,316.37
150260.00,316.37
150280.00,316.28
150300.00,316.49
150320.00,315.23
150340.00,316.85
150360.00,316.93
150380.00,316.53
150400.00,316.15
150420.00,317.28
150440.00,316.76
150460.00,316.80
150480.00,317.22
150500.00,316.86
150520.00,316.15
150540.00,315.70
150560.00,316.30
150580.00,316.56
150600.00,316.71
150620.00,317.06
150640.00,317.01
150660.00,317.38
150680.00,317.91
150700.00,317.83
150720.00,317.50
150740.00,318.05
150760.00,317.72
150780.00,317.89
150800.00,317.79
150820.00,317.66
150840.00,317.79
150860.00,318.14
150880.00,318.74
150900.00,318.92
150920.00,318.95
150940.00,320.07
150960.00,321.39
150980.00,323.45
151000.00,325.97
151020.00,327.19
151040.00,330.34
151060.00,332.99
151080.00,329.25
151100.00,326.20
151120.00,320.27
151140.00,319.94
151160.00,319.06
151180.00,319.17
151200.00,319.29
151220.00,319.45
151240.00,319.67
151260.00,320.29
151280.00,320.89
151300.00,321.52
151320.00,321.33
151340.00,322.17
151360.00,322.39
151380.00,322.60
151400.00,323.19
151420.00,323.54
151440.00,323.76
151460.00,324.19
151480.00,324.89
151500.00,325.54
151520.00,326.54
151540.00,326.40
151560.00,326.92
151580.00,327.74
151600.00,328.15
151620.00,329.11
151640.00,329.68
151660.00,330.62
151680.00,330.65
151700.00,331.43
151720.00,332.14
151740.00,332.94
151760.00,333.88
151780.00,334.81
151800.00,335.29
151820.00,336.12
151840.00,336.84
151860.00,337.49
151880.00,338.17
151900.00,338.81
151920.00,339.54
151940.00,340.07
151960.00,340.70
151980.00,341.39
152000.00,342.08
152020.00,342.70
152040.00,343.56
152060.00,344.52
152080.00,345.28
152100.00,346.09
152120.00,346.87
152140.00,348.49
152160.00,349.83
152180.00,349.99
152200.00,351.28
152220.00,352.44
152240.00,353.77
152260.00,354.82
152280.00,355.74
152300.00,356.10
152320.00,356.05
152340.00,356.69
152360.00,357.12
152380.00,357.49
152400.00,358.54
152420.00,359.83
152440.00,361.84
152460.00,363.05
152480.00,364.60
152500.00,366.03
152520.00,367.09
152540.00,367.46
152560.00,367.91
152580.00,368.74
152600.00,369.98
152620.00,372.26
152640.00,374.47
152660.00,376.53
152680.00,379.01
152700.00,380.45
152720.00,381.58
152740.00,383.17
152760.00,384.63
152780.00,386.33
152800.00,388.08
152820.00,388.86
152840.00,387.09
152860.00,382.60
152880.00,380.62
152900.00,379.30
152920.00,377.49
152940.00,379.38
152960.00,379.99
152980.00,379.99
153000.00,382.49
153020.00,382.49
153040.00,383.97
153060.00,384.99
153080.00,387.45
153100.00,391.01
153120.00,394.51
153140.00,395.10
153160.00,395.11
153180.00,396.50
153200.00,398.78
153220.00,402.55
153240.00,405.62
153260.00,407.83
153280.00,409.15
153300.00,411.93
153320.00,414.00
153340.00,415.69
153360.00,416.22
153380.00,417.96
153400.00,418.40
153420.00,417.63
153440.00,414.15
153460.00,409.76
153480.00,404.48
153500.00,410.51
153520.00,417.99
153540.00,424.75
153560.00,431.36
153580.00,433.14
153600.00,434.99
153620.00,432.35
153640.00,426.56
153660.00,425.84
153680.00,428.60
153700.00,430.99
153720.00,431.50
153740.00,432.22
153760.00,431.34
153780.00,430.17
153800.00,428.05
153820.00,427.07
153840.00,425.78
153860.00,420.99
153880.00,416.25
153900.00,415.66
153920.00,417.13
153940.00,417.84
153960.00,419.63
153980.00,422.17
154000.00,427.02
154020.00,431.53
154040.00,434.29
154060.00,436.20
154080.00,440.46
154100.00,440.72
154120.00,443.48
154140.00,439.47
154160.00,433.91
154180.00,432.49
154200.00,432.49
154220.00,432.49
154240.00,436.70
154260.00,440.37
154280.00,441.01
154300.00,439.85
154320.00,438.51
154340.00,437.67
154360.00,437.49
154380.00,439.99
154400.00,442.20
154420.00,442.49
154440.00,447.62
