x0,level
147600.00,315.56
147661.00,315.32
147662.00,315.31
147663.00,315.31
147664.00,315.30
147665.00,315.30
147666.00,315.30
147667.00,315.29
147668.00,315.29
147669.00,315.28
147670.00,315.28
147671.00,315.28
147672.00,315.27
147673.00,315.27
147674.00,315.27
147675.00,315.26
147676.00,315.26
147677.00,315.26
147678.00,315.25
147679.00,315.25
147680.00,315.25
147681.00,315.24
147682.00,315.24
147683.00,315.23
147684.00,315.23
147685.00,315.23
147686.00,315.22
147687.00,315.22
147688.00,315.22
147689.00,315.21
147690.00,315.21
147691.00,315.21
147692.00,315.21
147693.00,315.20
147694.00,315.20
147695.00,315.20
147696.00,315.19
147697.00,315.19
147698.00,315.19
147699.00,315.18
147700.00,315.18
147701.00,315.18
147702.00,315.18
147703.00,315.17
147704.00,315.17
147705.00,315.17
147706.00,315.16
147707.00,315.16
147708.00,315.16
147709.00,315.16
147710.00,315.15
147711.00,315.15
147712.00,315.15
147713.00,315.15
147714.00,315.14
147715.00,315.14
147716.00,315.14
147717.00,315.14
147718.00,315.13
147719.00,315.13
147720.00,315.13
147721.00,315.13
147722.00,315.12
147723.00,315.12
147724.00,315.12
147725.00,315.12
147726.00,315.11
147727.00,315.11
147728.00,315.11
147729.00,315.11
147730.00,315.11
147731.00,315.10
147732.00,315.10
147733.00,315.10
147734.00,315.10
147735.00,315.10
147736.00,315.09
147737.00,315.09
147738.00,315.09
147739.00,315.09
147740.00,315.09
147741.00,315.08
147742.00,315.08
147743.00,315.08
147744.00,315.08
147745.00,315.08
147746.00,315.08
147747.00,315.07
147748.00,315.07
147749.00,315.07
147750.00,315.07
147751.00,315.07
147752.00,315.07
147753.00,315.07
147754.00,315.06
147755.00,315.06
147756.00,315.06
147757.00,315.06
147758.00,315.06
147759.00,315.06
147760.00,315.06
147761.00,315.05
147762.00,315.05
147763.00,315.05
147764.00,315.05
147765.00,315.05
147766.00,315.05
147767.00,315.05
147768.00,315.05
147769.00,315.05
147770.00,315.05
147771.00,315.04
147772.00,315.04
147773.00,315.04
147774.00,315.04
147775.00,315.04
147776.00,315.04
147777.00,315.04
147778.00,315.04
147779.00,315.04
147780.00,315.04
147781.00,315.04
147782.00,315.04
147783.00,315.03
147784.00,315.03
147785.00,315.03
147786.00,315.03
147787.00,315.03
147788.00,315.03
147789.00,315.03
147790.00,315.03
147791.00,315.03
147792.00,315.03
147793.00,315.03
147794.00,315.03
147795.00,315.03
147796.00,315.03
147797.00,315.03
147798.00,315.03
147799.00,315.03
147800.00,315.03
147801.00,315.03
147802.00,315.03
147803.00,315.03
147804.00,315.03
147805.00,315.03
147806.00,315.03
147807.00,315.03
147808.00,315.03
147809.00,315.03
147810.00,315.03
147811.00,315.03
147812.00,315.03
147813.00,315.03
147814.00,315.03
147815.00,315.03
147816.00,315.03
147817.00,315.03
147818.00,315.03
147819.00,315.03
147820.00,315.03
147821.00,315.03
147822.00,315.03
147823.00,315.03
147824.00,315.03
147825.00,315.03
147826.00,315.03
147827.00,315.03
147828.00,315.04
147829.00,315.04
147830.00,315.04
147831.00,315.04
147832.00,315.04
147833.00,315.04
