x0,level
187666.947,538.894
187680,543.438
187700,548.567
187720,548.720
187740,545.926
187760,545.291
187780,545.832
187800,550.941
187820,551.055
187840,551.098
187860,550.927
187880,550.664
187900,550.559
187920,550.593
187940,550.727
187960,550.784
187980,550.429
188000,550.028
188020,550.752
188040,550.653
188060,550.408
188080,550.506
188100,550.948
188120,551.555
188140,552.357
188160,553.228
188180,554.119
188200,554.910
188220,555.463
188240,556.921
188260,558.386
188280,560.360
188300,562.640
188320,564.755
188340,566.942
188360,568.970
188380,571.142
188400,573.283
188420,575.369
188440,577.223
188460,579.195
188480,581.261
188500,582.798
188520,583.631
188540,584.465
188560,585.368
188580,586.868
188600,588.635
188620,590.138
188640,592.747
188660,595.389
188680,598.381
188700,601.788
188720,605.545
188740,608.388
188760,612.205
188780,613.539
188800,613.613
188820,612.323
188840,610.106
188860,606.190
188880,602.094
188900,597.776
188920,593.495
188940,588.717
188960,583.616
188980,578.936
189000,574.519
189020,570.013
189040,567.588
189060,567.470
189080,568.526
189100,572.538
189120,578.937
189140,586.762
189160,595.999
189180,605.341
189200,615.832
189220,624.608
189240,633.510
189260,639.476
189280,642.855
189300,644.328
189320,642.774
189340,639.318
189360,633.779
189380,628.052
189400,622.691
189420,617.335
189440,611.945
189460,606.311
189480,600.770
189500,596.369
189520,591.690
189540,588.701
189560,587.057
189580,585.298
189600,583.720
189620,582.248
189640,580.841
189660,580.144
189680,580.123
189700,580.359
189720,580.916
189740,581.176
189760,580.122
189780,578.464
189800,577.733
189820,577.156
189840,576.588
189860,576.015
189880,575.257
189900,574.577
189920,574.344
189940,574.927
189960,576.388
189980,578.009
190000,579.842
190020,580.000
190040,580.948
190060,581.900
190080,582.829
190100,583.504
190120,584.122
190140,584.418
190160,585.017
190180,585.498
190200,585.955
190220,586.387
190240,586.995
190246.869,587.210
