x0,level
210800,989.76
210820,982.872
210840,977.977
210860,969
210880,960.555
210900,961.051
210920,962.815
210940,968.57
210960,980.2
210980,992.86
211000,996.11
211020,996.656
211040,996.569
211060,993.331
211080,997.123
211100,1002.011
211120,1001.95
211140,999.876
211160,999.708
211180,1001.373
211200,1002.498
211220,1004.559
211240,1008.397
211260,1007.427
211280,1004.545
211300,1007.745
211320,1007.406
211340,999.138
211360,990.063
211380,982.924
211400,979.628
211420,976.961
211440,980.608
211460,981.432
211480,981.786
211500,976.901
211520,978.874
211540,982.361
211560,982.311
211580,979.23
211600,979.687
211620,981.948
211640,981.753
211660,982.663
211680,982.147
211700,988.453
211720,1001.792
211740,1011.558
211760,1015.041
211780,1014.851
211800,1015.588
211820,1017.102
211840,1018.085
211860,1020.073
211880,1013.085
211900,1006.433
211920,1006.743
211940,1009.588
211960,1008.766
211980,1004.48
212000,995.619
212020,997.659
212040,1014.689
212060,1039.701
212080,1056.257
212100,1050.741
212120,1035.714
212140,1018.391
212160,1028.364
212180,1041.45
212200,1055.161
212220,1061.861
212240,1064.385
212260,1068.776
212280,1073.176
212300,1080.153
212320,1085.584
212340,1089.731
212360,1092.604
212380,1094.398
212400,1095.853
212420,1096.151
212440,1096.195
212460,1095.652
212480,1094.851
212500,1094.93
212520,1094.629
212540,1093.828
212560,1093.266
212580,1090.563
212600,1086.999
212620,1084.088
212640,1081.823
212660,1078.832
212680,1072.957
212700,1063.92
212720,1050.46
212740,1042.304
212760,1038.495
212780,1031.993
212800,1038.651
212820,1046.398
212840,1051.641
212860,1053.147
212880,1055.086
212900,1057.321
212920,1060.031
212940,1061.167
212960,1061.219
212980,1063.554
213000,1065.309
213020,1067.456
213040,1069.464
213060,1072.061
213080,1075.125
213100,1076.308
213120,1074.796
213140,1068.824
213160,1058.421
213180,1047.567
213200,1046.826
213220,1058.863
213240,1071.081
213260,1082.273
213280,1090.338
213300,1094.445
213320,1093.099
213340,1088.326
213360,1080.982
213380,1074.612
213400,1069.136
213420,1068.536
213440,1071.692
213460,1076.291
213480,1082.414
213500,1087.419
213520,1092.652
213540,1097.673
213560,1100.794
213580,1102.654
213600,1102.499
213620,1097.931
213640,1098.663
213660,1103.868
213680,1106.497
213700,1107.741
213720,1109.585
213740,1111.931
213760,1113.257
213780,1105.555
213800,1105.988
213820,1112.956
213840,1114.127
213860,1119.862
213880,1128.836
213900,1133.018
213920,1134.092
213940,1131.814
213960,1135.528
213980,1137.857
214000,1138.562
214020,1137.873
214040,1133.286
214060,1127.166
214080,1141.022
214100,1146.55
214120,1150.758
214140,1154.669
214160,1158.809
214180,1161.83
214200,1164.51
214220,1166.124
214240,1168.118
214260,1169.451
214280,1169.599
214300,1166.315
214320,1163.889
214340,1162.216
214360,1162.278
214380,1161.208
214400,1161.66
214420,1162.576
214440,1161.113
214460,1153.209
214480,1140.363
214500,1149.763
214520,1163.714
214540,1173.56
214560,1179.063
214580,1182.418
214600,1185.765
214620,1192.834
214640,1199.632
214660,1208.096
214680,1216.266
214700,1223.322
214720,1230.959
214740,1237.2
214760,1243.063
214780,1248.219
214800,1252.268
214820,1256.669
214840,1259.822
214860,1265.718
214880,1272.309
214900,1277.534
214920,1282.158
214940,1287.023
214960,1291.6
214980,1296.23
215000,1301.424
215020,1305.701
215040,1311.241
215060,1314.977
215080,1319.043
215100,1321.971
215120,1324.741
215140,1324.927
215160,1323.753
215180,1320.398
215200,1317.121
215220,1313.294
215240,1308.994
215260,1304.363
215280,1298.347
215300,1288.977
215320,1279.061
215340,1275.829
215360,1276.311
215380,1276.926
215400,1275.789
215420,1274.248
215440,1271.952
215460,1269.286
215480,1266.515
215500,1263.685
215520,1258.783
215540,1252.072
215560,1246.185
215580,1240.841
215600,1234.963
215620,1232.383
215640,1230.546
215660,1228.444
215680,1225.109
215700,1221.042
215720,1223.37
215740,1229.154
215760,1233.031
215780,1236.385
215800,1239.505
215820,1242.057
215840,1242.066
215860,1241.594
215880,1232.516
215900,1227.474
215920,1231.916
215940,1240.973
215960,1245.01
215980,1247.404
216000,1248.878
216020,1249.671
216040,1250.913
216060,1251.753
216080,1253.351
216100,1254.309
216120,1254.412
216140,1248.015
216160,1239.796
216180,1235.358
216200,1239.502
216220,1245.567
216240,1252.042
216260,1256.473
216280,1259.552
216300,1261.115
216320,1263.103
216340,1264.379
216360,1264.813
216380,1264.855
216400,1264.76
216420,1264.539
216440,1263.61
216460,1260.838
216480,1256.449
216500,1248.587
216520,1237.537
216540,1227.412
216560,1217.622
216580,1212.465
216600,1216.439
216620,1218.741
216640,1219.486
216660,1218.689
216680,1217.932
216700,1215.774
216720,1211.275
216740,1204.824
216760,1199.213
216780,1194.621
216800,1190.124
216820,1186.446
216840,1184.839
216860,1184.807
216880,1183.869
216900,1183.092
216920,1182.57
216940,1181.517
216960,1181.394
216980,1181.386
217000,1181.893
217020,1180.813
217040,1179.83
217060,1177.648
217080,1175.262
217100,1173.015
217120,1171.172
217140,1171.384
217160,1173.536
217180,1179.222
217200,1184.49
217220,1188.158
217240,1191.373
217260,1193.603
217280,1195.199
217300,1195.053
217320,1196.956
217340,1197.409
217360,1197.698
217380,1197.617
217400,1197.363
217420,1195.809
217440,1193.537
217460,1189.608
217480,1186.107
217500,1182.094
217520,1180.477
217540,1174.635
217560,1169.689
217580,1167.131
217600,1164.966
217620,1164.24
217640,1164.138
217660,1164.595
217680,1164.776
217700,1168.633
217720,1172.431
217740,1176.065
217760,1179.508
217780,1183.548
217800,1187.374
217820,1191.096
217840,1194.531
217860,1196.91
217880,1198.435
217900,1200.385
217920,1201.722
217940,1202.714
217960,1202.848
217980,1202.197
218000,1201.631
218008.125,1201.349
