No,PK,NumOfSpan,L,A,Type,W
1,RK156+047.5,31x35,1085,90,T girder,R
2,RK157+705.0,12x25+35+60+35+5x25,555,90,T+box+T,R
3,RK158+312.0,35+60+35,130,90,T girder,R
4,RK164+472.5,17x25,425,90,T girder,R
5,RK166+671.8,5x25,125,90,T girder,R
6,RK172+045.6,9x35,315,90,T girder,R
7,RK172+962.5,7x35,245,90,T girder,R
8,RK173+650.0,12x25,300,90,T girder,R
9,RK173+895.0,2x35,70,90,T girder,R
10,RK177+012.5,6x35+6x35+5x35,595,90,T girder,R
11,RK177+785.0,8x50,400,90,Box girder,R
12,RK179+477.5,5x25,125,90,T girder,R
13,RK179+632.5,3x25,75,90,T girder,R
14,RK180+715.0,2x25,50,90,T girder,R
15,RK181+380.0,5x50,250,90,Box girder,R
16,RK182+162.5,7x35,245,90,T girder,R
17,RK182+532.5,8x35,280,90,T girder,R
18,RK183+119.5,15x35,525,90,T girder,R
19,RK183+637.7,25+3x35+25,155,90,T girder,R
20,RK187+800.0,10,10,90,solid slab,R
21,RK188+112.5,7x25,175,90,T girder,R
22,RK188+615.0,6x35,210,90,T girder,R
23,RK189+177.5,11x35,385,90,T girder,R
24,RK190+597.5,17x35,595,90,T girder,R
25,RK192+280.0,12x35+8x25,620,90,T girder,R
26,RK196+072.5,15x35,525,90,T girder,R
27,RK197+092.5,7x35,245,90,T girder,R
28,RK198+425.0,16x35,560,90,T girder,R
29,RK199+575.0,6x35,210,90,T girder,R
30,RK202+075.0,4x25,100,90,T girder,R
31,RK202+765.0,10,10,90,solid slab,R
32,RK203+252.5,7x35,245,90,T girder,R
33,RK203+655.0,15,15,90,solid slab,R
34,RK203+952.5,13x25,325,90,T girder,R
35,RK204+785.0,2x25+35+20x25,585,90,T girder,R
36,RK205+622.5,3x25,75,90,T girder,R
37,RK206+165.0,10x25,250,90,T girder,R
38,RK206+950.0,20x25,500,90,T girder,R
39,RK207+362.5,11x25,275,90,T girder,R
40,RK207+652.5,9x25,225,90,T girder,R
41,RK210+900.0,4x35,140,90,T girder,R
42,RK211+685.0,21x35,735,90,T girder,R
43,RK212+145.0,1x35,35,90,T girder,R
44,RK212+780.0,4x25,100,90,T girder,R
45,RK213+192.5,4x25,100,90,T girder,R
46,RK213+425.0,4x25,100,90,T girder,R
47,RK217+047.5,13x25,325,90,T girder,R
48,RK217+635.0,13x25,325,90,T girder,R
49,RK236+485.0,14x35,490,90,T girder,R
50,RK237+155.0,5x35,175,90,T girder,R
51,RK238+425.0,7x25,175,90,T girder,R
52,RK238+900.0,17x35,595,90,T girder,R
53,RK241+881.0,8x25,200,90,T girder,R
54,RK242+466.0,10x25,250,90,T girder,R
55,RK243+021.0,6x25,150,90,T girder,R
